0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/richfaces-base-component.js.faces HTTP/1.1" 200 14534
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/richfaces.js.faces HTTP/1.1" 200 19769
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/richfaces-event.js.faces HTTP/1.1" 200 13963
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/message.js.faces?ln=org.richfaces HTTP/1.1" 200 3242
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/jquery.component.js.faces?ln=org.richfaces HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/richfaces-queue.js.faces HTTP/1.1" 200 16737
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/jquery.position.js.faces HTTP/1.1" 200 11525
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/jquery.js.faces HTTP/1.1" 200 248486
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/json-dom.js.faces?ln=org.richfaces HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/JQuerySpinBtn.js.faces?ln=org.richfaces HTTP/1.1" 200 9692
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/jquery.effects.core.js.faces?ln=org.richfaces HTTP/1.1" 200 22335
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/calendar-utils.js.faces?ln=org.richfaces HTTP/1.1" 200 18001
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/jquery.effects.highlight.js.faces?ln=org.richfaces HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/rfRes/calendarIcon.png.faces?v=4.2.2.Final&db=eAH7f-X88f!PZzEAAB5uBeo_&ln=org.richfaces.images HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [09/Jun/2014:21:46:46 -0300] "GET /reservaweb/javax.faces.resource/calendar.js.faces?ln=org.richfaces HTTP/1.1" 200 90166
